id,name,type,aliases,desc,writing_count
1,归字谣,Ping,苍梧谣|十六字令,蔡伸词名《苍梧谣》，周玉晨词名《十六字令》，袁去华词亦名《归字谣》。有刻《归梧谣》者误。,251
2,渔父引,Ping,,唐教坊曲名。,1
3,閒中好,Ping,静中好|闲中好,调见唐段成式《酉阳杂俎》，有平韵、仄韵二体，即以首句三字为调名也。,42
4,纥那曲,Ping,,"明胡震亨《唐音癸签》云：“《纥那曲》，不知所出。考唐天宝中，崔成甫翻《得体歌》，有‘得体纥那也，纥囊得体那’之句，岂其所本欤？”
　　按唐人于舟中唱《得体歌》，有号头，即和声。“纥那”者，或曲之和声也。",2
5,拜新月,Ze,,唐教坊曲名。,5
6,梧桐影,Ze,明月斜,"宋周紫芝《竹坡诗话》云：“大梁景德寺峨嵋院壁间，有吕岩题字。寺僧相传，有蜀僧号峨嵋道者，戒律甚严，不下席者二十年。一日，有布衣青裘，昂然一伟人来，与语良久，期以明年是日，复相见于此，愿少见待。明年是日，日方午，道者沐浴端坐而逝。至暮，伟人果来，问道者，曰亡矣。伟人叹息良久，忽不见。明日，书数语于堂侧壁间绝高处。宣和间，余游京师，犹及见之。”
　　按《庚溪诗话》亦载此事，与此小异。后人因词中有“明月斜”句，更名《明月斜》。",19
7,啰唝曲,Ping,望夫歌,唐范摅《云溪友议》云：“金陵有啰唝楼，乃陈后主所建。《啰唝曲》，刘采春所唱，皆当代才子所作五六七言绝句。一名《望夫歌》，元稹诗所谓‘更有恼人肠断处，选词能唱望夫歌’也。”,15
8,醉妆词,Ze,,唐孙光宪《北梦琐言》：“蜀王衍尝裹小巾，其尖如锥。宫人皆衣道服，簪莲花冠，施胭脂夹脸，号‘醉妆’，因作《醉妆词》。”,2
9,庆宣和,PingAndZe,,元张可久《小山乐府》自注“双调”。按《唐书·礼乐志》，双调乃夹钟之商声也。,17
10,南歌子,Ping,春宵曲|水晶帘|碧窗梦|十爱词|南柯子|悟南柯|望秦川|风蝶令,唐教坊曲名。此词有单调、双调。单调者始自温庭筠词，因词有“恨春宵”句，名《春宵曲》。张泌词本此添字，因词有“高卷水晶帘额”句，名《水晶帘》，又有“惊破碧窗残梦”句，名《碧窗梦》。郑子聃有《我爱沂阳好》词十首，更名《十爱词》。双调者有平韵、仄韵两体。平韵者始自毛熙震词，周邦彦、杨无咎、僧挥五十四字体，无名氏五十三字体，俱本此添字。仄韵者始自《乐府雅词》，惟石孝友词最为谐婉。周邦彦词名《南柯子》，程垓词名《望秦川》，田不伐词有“帘风不动蝶交飞”句，名《风蝶令》。,1048
11,荷叶杯,PingZeSwitch,,唐教坊曲名。此词有单调、双调。单调者有温庭筠、顾夐二体，双调者只韦庄一体，俱见《花间集》。,173
