name,begin_year,end_year
夏朝,-2029,-1559
商朝,-1575,-1039
周朝,-1110,-256
西周,-1110,-771
东周,-770,-256
周国（周公）,,
召国,-594,-593
西虢国,,
毛国,-594,-516
郕国,,
原国,,
荣国,,
尹国,,
苏国,,
单国,,
巩国,,
甘国,-635,-530
刘国,-592,-488
西周国,-440,-256
东周国,-367,-249
齐国,574,578
晋国,317,318
楚国,,
秦国,574,580
吴国,588,589
越国,574,580
鲁国,579,579
郑国,-806,-375
宋国,574,580
卫国,574,574
陈国,574,580
蔡国,577,581
燕国,337,352
曹国,574,581
赵国,574,580
魏国,527,532
韩国,-205,-200
杞国,-750,-445
许国（姜姓，太岳之后）,-731,-481
邾国,-796,-471
莒国,-1046,-519
滕国,574,580
薛国,-663,-485
郳国（小邾国）,,
唐国,,
贾国,,
胡国,-495,-495
聃国,,
郯国,-414,-414
南燕国,,
徐国,,
蜀国,,
中山国,550,551
秦朝,-246,-203
张楚国,-209,-208
衡山国,-164,-122
临江国,586,589
九江国,-206,-204
恒山国,-206,-205
代国,574,580
临淄国,-206,-206
济北国,232,265
胶东国,-164,8
汉国,574,580
雍国,-206,-205
塞国,-206,-206
翟国,-206,-206
辽东国,277,283
西魏国,-206,-205
河南国,550,577
汉朝,-206,220
西汉,-206,8
新朝,9,23
更始,23,25
新朝之后，更始至东汉初建立的各政权,23,27
东汉,25,220
东汉时期建立的其他政权,,
楚国（前202年-前201年）,-202,-201
楚国（前201年-前69年）,-201,-69
楚国（前50年-8年）,-50,8
荆国,578,581
燕国（前202年-前196年）,-202,-196
燕国（前195年-前181年）,-195,-181
燕国（前180年）,-180,-180
燕国（前179年-前127年）,-179,-128
燕国（前117年-前80年）,-117,-80
广阳国,559,560
琅邪国,565,577
齐国（前203年-前202年）,-203,-202
齐国（前201年-前127年）,-201,-127
齐国（前117年-前110年）,-117,-110
济北国（前178年-前177年）,-178,-177
济北国（前164年-前154年）,-164,-154
济北国（前153年-前87年）,-153,-87
济南国,560,561
胶西国,-164,-108
菑川国,-164,8
城阳国（前178年-前169年）,-178,-169
城阳国（前165年-8年）,-165,8
吕国,-187,-181
淮南国（前203年-前173年）,-203,-174
淮南国（前168年-前165年）,-168,-165
淮南国（前164年-前122年）,-164,-122
庐江国,304,306
六安国,-121,8
梁国（前202年-前180年）,-202,-180
梁国（前178年-3年；5年-8年）,-178,8
代国（前200年-前198年）,-201,-198
代国（前196年-前114年）,-196,-114
太原国,550,577
淮阳国（前187年-前180年）,-187,-180
淮阳国（前176年-前169年）,-176,-168
淮阳国（前155年-前154年）,-155,-154
淮阳国（前63年-8年）,-63,8
鲁国（前187年-前180年）,-187,-180
鲁国（前154年-前6年）,-154,-6
鲁国（前4年-8年）,-4,8
昌邑国,-97,-74
临江国（前155年-前153年）,-155,-153
临江国（前150年-前148年）,-150,-148
长沙国（前202年-前157年）,-202,-157
长沙国（前155年-8年）,-155,8
赵国（前203年-前198年）,-203,-198
赵国（前198年-前181年）,-198,-181
赵国（前180年）,-180,-180
赵国（前179年-前154年）,-179,-154
赵国（前152年-8年）,-152,8
中山国（前154年-前54年）,-154,-55
中山国（前44年-前35年）,-44,-35
中山国（前23年-前1年）,-23,-1
中山国（1年-8年）,1,8
河间国（前178年-前165年）,-178,-165
河间国（前155年-8年）,-155,8
清河国（前147年-前136年）,-147,-136
清河国（前114年-前66年）,-114,-66
清河国（前47年-前44年）,-47,-44
恒山国（前187年-前180年）,-187,-180
常山国（前145年-前113年）,-145,-114
真定国,254,265
泗水国,26,34
汝南国,570,577
江都国,-153,-121
广陵国,289,290
高密国,-73,8
定陶国（前52年-前50年）,-52,-50
定陶国（前25年-前5年）,-25,-5
广川国（前155年-前152年）,-155,-152
广川国（前148年-前70年；前66年-前50年）,-148,-50
广世国,2,8
平干国,-91,-56
广平国,222,223
信都国（前37年-前23年）,-37,-23
信都国（前5年-8年）,-5,8
东平国,,
济东国,-144,-116
山阳国（前144年-前136年）,-144,-136
山阳国（前33年-前25年）,-33,-25
济阳国,301,302
济阴国,222,224
济川国（前181年-前180年）,-181,-180
济川国（前144年-前138年）,-144,-138
广德国（前19年-前18年）,-19,-18
广德国（2年-8年）,-19,8
广宗国,93,93
南越国,-203,-111
东海国,567,577
闽越国,-202,-110
南海国,583,589
玄汉册立,24,27
赤眉册立,25,25
刘永册立,25,29
公孙述册立,31,36
自立称王,23,27
淮阳国,,
城阳国,570,577
长沙国,569,589
淄川国,26,34
河间国,550,577
汉中国,219,221
博陵国,550,577
北海国,232,233
中山国（41年-44年）,41,44
中山国（54年-174年）,54,174
左冯翊国,41,54
山阳国→广陵国,41,58
沛国,265,311
阜陵国,73,206
任城国,550,577
千乘国,60,95
广平国→西平国→陈国,60,197
钜鹿国→江陵国→六安国→彭城国,72,220
乐成国,72,121
下邳国,265,311
汝南国→梁国,72,220
常山国,550,560
乐安国,95,146
平春国,79,79
清河国,550,577
广川国,107,108
安平国,555,587
渤海国,718,857
甘陵国,148,189
平原国,550,554
渤海国→陈留国,189,189
弘农国,189,190
南阳国,564,577
山阳国,212,220
三国,220,280
曹魏,220,265
蜀汉,221,263
孙吴,229,280
章陵国,222,222
义阳国,582,589
彭城国,550,577
谯国,574,581
陈留国,550,551
弋阳国→吴国,222,222
庐江国→寿张国,222,223
曲阳国→乐陵国,232,244
梁国,550,577
河东国,550,577
京兆国,222,225
淮南国→陈国,222,223
丰国,254,265
中牟国→任城国,223,224
鄄城国（222年-223年）,222,223
鄄城国（226年-232年）,226,232
雍丘国,223,227
浚仪国,227,228
东阿国,229,232
萧国,234,234
相国（229年/233年-236年）,233,236
相国（255年-265年）,255,265
邓国,,
定陶国,224,232
单父国,224,232
赞国→濮阳国,224,226
襄邑国,224,232
范阳国→句阳国,224,226
乐城国→钜鹿国,224,226
寿春国→白马国,224,226
寿张国,224,232
聊城国,227,232
饶安国→文安国,238,246
赞国,235,248
阳平国,226,232
东武阳国,225,225
馆陶国,225,232
元城国,225,232
邯郸国,225,232
繁阳国,228,229
鲁国→甘陵国,221,230
梁国→安平国,221,263
安定国,550,570
西河国,567,577
新平国,550,558
北地国,259,263
新兴国,583,589
上党国,550,577
会稽国,586,589
豫章国,569,589
淮阳国→鲁国,269,273
晋朝,264,420
西晋,264,317
西晋统治地区出现过的其他,300,303
东晋,318,420
桓楚政权,403,405
安平国→长乐国→安平国,265,413
义阳国→棘阳国,265,301
河间国→章武国,265,405
随国,288,311
东平国→竟陵国,265,307
勃海国→太原国→中丘国,265,311
南宫国→武邑国,270,289
良城国,311,311
太原国→河间国→乐成国→河间国,265,399
高阳国,550,577
陇西国→高密国,265,420
东燕国→新蔡国,306,420
范阳国,560,577
济南国→中山国,265,304
中山国→高阳国,265,420
北海国→任城国,265,311
陈国→西河国,265,311
扶风国→汝南国,265,420
西阳国→弋阳国,300,326
南顿国,305,326
汝阳国,570,577
东莞国→琅邪国,265,418
武陵国→新宁国→武陵国,304,420
东安国,291,291
淮陵国,301,420
汝阴国→扶风国→顺阳国,265,289
新野国,,
琅邪国→赵国,265,277
济阳国→京兆国,300,300
汝阴国→广平国,300,300
霸城国,301,301
齐国→乐平国→齐国,265,420
城阳国→东海国→清河国,269,311
广汉国→北海国,277,302
乐安国→广阳国,265,302
乐平国,567,577
毗陵国,289,291
汝南国→南阳国→秦国,270,312
始平国→汉国→济南国,277,301
始平国→楚国→襄阳国,277,311
濮阳国→淮南国,277,311
代国→中都国,289,306
新都国,277,283
新蔡国,575,589
上庸国→豫章国,306,306
广川国→豫章国,307,307
汝阴国,479,557
临淮国,308,311
成都国→华容国,289,304
吴国→宾徒国→吴国,289,300
南平国→宜都国,301,301
新都国→济阴国,,
勃海国,,
临淮国→濮阳国,300,300
襄阳国,300,301
临川国,557,559
十六国,304,439
前赵,304,328
成汉,303,347
前凉,301,376
后赵,319,351
冉魏,350,352
前燕,337,370
前秦,351,394
后秦,384,417
后燕,384,407
翟魏,388,392
西燕,384,394
西秦,385,431
后凉,386,403
南凉,397,414
南燕,398,410
西凉,400,421
胡夏,407,431
北燕,407,436
北凉,397,439
南北朝,420,640
宋,420,479
齐,479,502
梁,502,557
西梁,555,587
陈,557,589
北魏,386,534
东魏,534,550
西魏,535,556
北齐,550,577
北周,557,581
柔然,464,520
高昌,460,640
高昌统治地区其他不详,,
高句丽,391,412
营阳国/南丰国,424,479
庐陵国,565,589
宜都国,573,589
江夏国,565,589
安陆国,549,551
竟陵国/南谯国/南郡国,424,432
宜阳国,453,454
衡阳国,560,589
始兴国,557,589
武陵国,565,589
南平国,583,589
广陵国/隋国/竟陵国,443,449
建平国,550,551
东海国/庐江国,445,468
义阳国/晋熙国,445,479
汝阴国/武昌国,447,452
淮阳国/湘东国,448,452
建安国/始安国,452,476
山阳国/晋平国,455,468
海陵国,494,494
鄱阳国,560,589
东平国/临庆国,454,471
顺阳国/桂阳国,456,457
巴陵国,502,556
西阳国/豫章国,456,461
晋安国,565,589
寻阳国,582,589
历阳国/临海国,460,461
襄阳国/新安国/始平国,460,479
永嘉国,583,589
始安国,583,588
邵陵国,587,589
淮南国,566,577
临贺国,583,589
晋陵国,587,587
苍梧国,,
安成国,559,569
南阳国/隋阳国,476,478
始建国,476,479
衡阳国/永阳国/衡阳国,479,502
宣城国,532,549
安陆国/湘东国,494,499
桂阳国,568,589
广兴国/始兴国,479,502
晋熙国,575,589
南郡国,583,589
竟陵国/巴陵国,482,499
巴东国,586,589
隋国,580,581
建安国,572,589
武昌国/西阳国,483,485
蜀国/西阳国,489,495
广汉国/衡阳国,489,495
宣城国/南康国,489,490
义安国/永阳国,489,489
湘东国,583,589
郁林国,,
新安国,565,582
临海国/巴陵国,493,495
永嘉国/桂阳国,493,495
建安国/鄱阳国,494,501
隋国/南康国,494,499
南平国/邵陵国,494,495
永阳国,568,589
建安国/南平国,502,552
南康国,560,589
岳阳国,582,589
武昌国,582,589
江夏国/临川国,549,550
山阳国/桂阳国,549,550
宜都国/汝南国,549,550
西阳国,583,589
武宁国,550,551
义安国,581,587
绥建国,550,551
乐梁国/晋熙国,550,552
竟陵国,552,553
南谯国,552,553
东魏国,532,532
邺国,580,581
河间国/吴国,,
义兴国,587,587
临海国,568,589
巴山国,582,589
阳山国,583,589
南安国,583,589
沅陵国,583,589
岳山国,583,589
新会国,586,589
新宁国,586,589
新昌国,588,589
永城国,588,589
吴兴国,588,589
信义国,583,589
东阳国,588,589
钱唐国,588,589
零陵国,420,490
江阴国,557,589
阳夏国,554,577
广武国,550,550
武兴国,550,577
平秦国,550,562
襄乐国,550,550
平昌国,550,550
上洛国,550,550
脩城国,550,550
赵郡国,550,577
永安国,550,577
平阳国,550,577
襄城国,550,577
长广国,550,561
华山国,564,564
冯翊国,550,577
汉阳国,550,577
广宁国,550,577
兰陵国,550,573
安德国,550,553
渔阳国,550,577
长乐国,555,577
陇西国,560,560
乐陵国,561,577
始平国,570,577
锭洋国,570,577
齐安国,566,577
北平国,566,577
高平国,566,577
颍川国,567,577
安乐国,567,577
丹阳国,567,577
章武国,550,577
咸阳国,550,572
东莱国,577,577
扶风国,550,550
冀国,574,580
纪国,574,581
毕国,574,580
酆国,574,580
道国,577,581
郢国,580,581
隋朝,581,619
唐朝,618,690
武周,683,705
续唐,705,907
吐蕃,817,838
东丹,926,937
定安,,
南诏,748,877
大封民,877,902
大长和,902,928
大天兴,928,929
大义宁,929,937
待考,,
五代,907,960
后梁,907,923
后唐,923,937
后晋,936,946
后汉,947,950
后周,951,960
于阗,912,1001
十国,902,979
吴,902,937
南唐,937,975
吴越,907,978
楚,907,951
闽,909,945
南汉,917,971
