name,dynasty,begin_year,end_year
后元,汉朝,-88,-87
中元,汉朝,-149,-144
建元,南北朝,479,482
元光,金朝,1222,1223
元朔,汉朝,-128,-123
元狩,汉朝,-122,-117
元鼎,汉朝,-116,-111
元封,唐朝,,808
太初,南北朝,453,453
天汉,十国,917,917
太始,唐朝,818,818
征和,汉朝,-92,-89
始元,唐朝,910,910
元凤,汉朝,-80,-75
元平,汉朝,-74,-74
本始,汉朝,-73,-70
地节,汉朝,-69,-66
元康,晋朝,291,299
神爵,南北朝,,
五凤,隋朝,618,621
甘露,唐朝,926,936
黄龙,唐朝,761,761
初元,汉朝,-48,-44
永光,南北朝,455,455
建昭,汉朝,-38,-34
竟宁,汉朝,-33,-33
建始,十六国,397,397
河平,汉朝,-28,-25
阳朔,汉朝,-24,-21
鸿嘉,汉朝,-20,-17
永始,晋朝,403,404
元延,汉朝,-12,-9
绥和,汉朝,-8,-7
建平,南北朝,508,508
太初元将,汉朝,-5,-5
元寿,宋朝,,1204
元始,汉朝,1,5
居摄,汉朝,6,8
初始,汉朝,8,8
始建国,汉朝,9,13
天凤,汉朝,14,19
地皇,汉朝,20,23
更始,十六国,409,412
汉复,汉朝,23,34
龙兴,宋朝,1157,1161
建世,汉朝,25,27
建武,南北朝,529,529
建武中元,汉朝,56,57
永平,隋朝,617,618
建初,南北朝,489,496
元和,唐朝,806,820
章和,南北朝,531,548
永元,南北朝,499,501
元兴,清朝,,
延平,十六国,397,397
永初,南北朝,420,422
元初,汉朝,114,120
永宁,明朝,1417,1420
建光,十六国,388,391
延光,汉朝,122,125
永建,十六国,420,421
阳嘉,汉朝,132,135
永和,清朝,1721,1721
汉安,汉朝,142,144
建康,晋朝,319,320
永憙,汉朝,145,145
本初,汉朝,146,146
建和,十六国,400,402
和平,南北朝,551,554
元嘉,南北朝,424,453
永兴,清朝,1708,1708
永寿,汉朝,155,158
延熹,汉朝,158,167
永康,南北朝,478,485
建宁,汉朝,168,172
熹平,汉朝,172,178
光和,汉朝,178,184
中平,汉朝,189,189
光熹,汉朝,189,189
昭宁,汉朝,189,189
永汉,南北朝,542,542
初平,汉朝,190,193
兴平,南北朝,486,486
建安,宋朝,1083,1091
延康,元朝,1283,1283
神上,汉朝,,
黄初,三国,220,226
太和,南北朝,477,499
青龙,十六国,398,398
景初,三国,237,239
正始,南北朝,,
嘉平,十六国,408,414
正元,三国,254,256
景元,三国,260,264
咸熙,三国,264,265
绍汉,三国,237,238
章武,三国,221,223
建兴,唐朝,819,830
延熙,十六国,334,334
景耀,三国,258,263
炎兴,三国,263,263
黄武,三国,222,229
嘉禾,三国,232,238
赤乌,三国,238,251
太元,晋朝,376,396
神凤,晋朝,303,303
太平,元朝,1356,1358
永安,西夏,1098,1100
宝鼎,三国,266,269
建衡,三国,269,271
凤凰,十六国,386,386
天册,三国,275,276
天玺,十六国,399,401
天纪,三国,277,280
泰始,南北朝,432,437
咸宁,十六国,399,401
太康,晋朝,280,289
太熙,晋朝,290,290
永熙,南北朝,532,534
太安,宋朝,,
光熙,晋朝,306,306
永嘉,宋朝,,1128
大兴,唐朝,738,794
永昌,清朝,1644,1645
太宁,南北朝,561,562
咸和,唐朝,831,857
咸康,十国,925,925
升平,十六国,363,376
隆和,晋朝,362,363
兴宁,晋朝,363,365
咸安,晋朝,371,372
宁康,晋朝,373,375
隆安,晋朝,397,401
大亨,晋朝,402,402
义熙,南北朝,510,525
元熙,十六国,304,308
天康,南北朝,566,566
永凤,十六国,308,309
河瑞,十六国,309,310
光兴,十六国,310,311
麟嘉,十六国,389,396
汉昌,十六国,318,318
光初,十六国,318,329
平赵,十六国,320,320
晏平,十六国,306,310
玉衡,十六国,311,334
大武,十六国,,
玉恒,十六国,335,338
汉兴,十六国,338,343
嘉宁,十六国,346,347
永乐,明朝,1403,1424
太清,南北朝,547,549
延兴,南北朝,471,476
燕元,十六国,384,386
元玺,十六国,352,357
光寿,十六国,357,359
建熙,十六国,360,370
皇始,南北朝,396,398
寿光,十六国,355,357
延初,十六国,394,394
建昌,南北朝,555,560
黑龙,十六国,374,374
白雀,南北朝,,
皇初,十六国,394,399
弘始,十六国,399,416
长乐,十六国,399,401
光始,十六国,401,406
定鼎,十六国,391,392
燕兴,十六国,384,384
昌平,十六国,386,386
建明,南北朝,506,506
中兴,清朝,1647,1647
建义,南北朝,528,528
建弘,十六国,420,428
永弘,十六国,428,431
龙飞,明朝,,
承康,十六国,,
神鼎,十六国,401,403
弘昌,十六国,402,404
燕平,十六国,398,400
太上,十六国,405,410
庚子,十六国,400,404
嘉兴,十六国,417,420
龙昇,十六国,407,413
凤翔,十六国,413,418
昌武,十六国,418,419
真兴,十六国,,
承光,南北朝,577,577
胜光,十六国,428,431
太兴,十六国,431,436
神玺,十六国,397,399
玄始,十六国,412,428
承玄,十六国,428,431
义和,南北朝,614,619
承阳,十六国,,
缘禾,十六国,,
承和,十六国,433,439
太缘,十六国,,
承平,南北朝,502,509
景平,南北朝,423,424
孝建,南北朝,454,456
大明,唐朝,931,937
景和,南北朝,465,465
泰豫,南北朝,472,472
元徽,南北朝,473,477
昇明,南北朝,477,479
义嘉,南北朝,466,466
永明,南北朝,483,493
隆昌,南北朝,494,494
永泰,唐朝,765,766
天监,南北朝,502,519
普通,南北朝,520,527
大通,南北朝,527,529
中大通,南北朝,529,534
大同,清朝,1932,1934
中大同,南北朝,546,547
大宝,明朝,1565,1566
天正,清朝,1648,1648
承圣,南北朝,552,555
天成,十国,929,930
绍泰,南北朝,555,556
上愿,南北朝,535,535
天德,清朝,1853,1853
正平,隋朝,617,618
天启,明朝,1621,1627
大定,元朝,,
天保,南北朝,550,559
广运,西夏,1034,1036
永定,南北朝,557,559
天嘉,南北朝,560,566
光大,南北朝,567,568
太建,南北朝,569,582
至德,宋朝,,
祯明,南北朝,587,589
建国,南北朝,338,376
登国,南北朝,386,396
天兴,金朝,1147,1147
天赐,金朝,1214,1214
神瑞,南北朝,414,416
泰常,南北朝,416,423
始光,南北朝,424,428
神䴥,南北朝,428,431
延和,唐朝,712,712
太延,南北朝,435,440
太平真君,南北朝,440,451
兴安,南北朝,452,454
兴光,南北朝,454,455
天安,南北朝,466,467
皇兴,南北朝,467,471
承明,南北朝,476,476
景明,南北朝,500,504
延昌,南北朝,561,601
熙平,南北朝,516,518
神龟,南北朝,518,520
正光,南北朝,520,525
孝昌,南北朝,525,528
武泰,南北朝,528,528
普泰,南北朝,531,531
太昌,南北朝,532,532
圣君,南北朝,471,471
圣明,宋朝,1042,1042
大乘,南北朝,515,515
真王,南北朝,525,528
天建,南北朝,524,527
神嘉,南北朝,525,535
鲁兴,南北朝,526,526
始建,南北朝,,
广安,宋朝,1077,1080
天授,宋朝,1096,1096
隆绪,南北朝,527,528
天统,元朝,1363,1366
神兽,南北朝,528,530
孝基,南北朝,529,529
更兴,南北朝,530,532
