id,name,surname,dynasty,birth_year,death_year,birth_day,death_day
21620,骆宾王,,唐朝,635,684,,
17226,杜审言,,唐朝,646,708,,
18262,王勃,,唐朝,650,675,,
13975,宋之问,,唐朝,656,713,,
17898,沈佺期,,唐朝,656,715,,
20191,贺知章,,唐朝,659,744,,
20887,陈子昂,,唐朝,659,700,,
15158,张旭,,唐朝,675,750,,
15164,张九龄,,唐朝,678,740,,
18549,王湾,,唐朝,,,,
18220,王之涣,,唐朝,688,742,,
13993,孟浩然,,唐朝,689,740,,
17166,李颀,,唐朝,690,751,,
19116,綦毋潜,,唐朝,692,749,,
18935,祖咏,,唐朝,,,,
14932,常建,,唐朝,,,,
18440,王昌龄,,唐朝,698,756,,
14790,崔曙,,唐朝,,739,,
21646,高适,,唐朝,700,765,,
15188,李白,,唐朝,701,762,,
18616,王维,,唐朝,701,761,,
17270,杜甫,,唐朝,712,770,,
14895,崔颢,,唐朝,,754,,
18821,皇甫冉,,唐朝,715,768,,
14000,岑参,,唐朝,717,770,,
20818,钱起,,唐朝,718,780,,
12931,元结,,唐朝,719,772,,
18851,僧皎然,,唐朝,720,800,,
13632,司空曙,,唐朝,720,790,,
21491,韩翃,,唐朝,,,,
21659,顾况,,唐朝,727,820,,
15243,戴叔伦,,唐朝,732,789,,
16967,李端,,唐朝,,785,,
17561,柳中庸,,唐朝,,775,,
21277,韦应物,,唐朝,737,791,,
15634,张继,,唐朝,,779,,
13496,卢纶,,唐朝,743,799,,
15274,李益,,唐朝,748,829,,
13340,刘长卿,,唐朝,,790,,
14010,孟郊,,唐朝,751,814,,
15294,权德舆,,唐朝,759,818,,
15063,张乔,,唐朝,,,,
17276,杜秋娘,,唐朝,,,,
18626,王翰,,唐朝,,,,
19921,西鄙人,,唐朝,,,,
15628,张籍,,唐朝,767,830,,
51027,王建,,唐朝,877,943,,
21679,韩愈,,唐朝,768,824,,
14603,刘禹锡,,唐朝,772,842,,
18804,白居易,,唐朝,772,846,,
17578,柳宗元,,唐朝,773,819,,
14615,元稹,,唐朝,779,831,,
20204,贾岛,,唐朝,779,843,,
15618,张祜,,唐朝,791,852,,
19980,许浑,,唐朝,788,858,,
18032,温庭筠,,唐朝,801,866,,
17274,杜牧,,唐朝,803,852,,
21163,陈陶,,唐朝,803,879,,
19718,薛逢,,唐朝,,,,
16489,李商隐,,唐朝,813,858,,
21596,马戴,,唐朝,,,,
20615,郑畋,,唐朝,824,882,,
17168,李频,,唐朝,,876,,
21282,韦庄,,唐朝,836,910,,
21436,韩偓,,唐朝,840,923,,
17287,杜荀鹤,,唐朝,846,904,,
14668,崔涂,,唐朝,850,,,
18969,秦韬玉,,唐朝,,,,
13206,刘方平,,唐朝,,,,
19902,裴迪,,唐朝,,,,
20775,金昌绪,,唐朝,,,,
