id,person_id,region_id,name
1,21620,CN330782,婺州义乌(今浙江义乌)
2,17226,CN410181,河南巩县
3,18262,CN140882,绛州龙门(今山西河津)
4,13975,CN141182200,汾州西河(今山西汾阳)
5,17898,CN410527,相州内黄(今河南内黄)
6,20191,CN330109,越州永兴(今浙江萧山)
7,20887,CN510922,梓州射洪(今四川射洪)
8,15158,CN3205,吴郡（今江苏苏州）
9,15164,CN4402,韶州曲江(今广东韶关)
10,18549,CN4103,洛阳(今属河南)
11,18220,CN140110,晋阳（今山西太原）
12,13993,CN4206,襄州襄阳(今湖北襄樊)
13,17166,CN510725,东川
14,19116,CN3607,虔州(今江西赣州)
15,18935,CN4103,洛阳(今属河南)
16,18440,CN6101,京兆万年(今陕西西安)
17,14790,CN4114,宋州
18,21646,CN131127,渤海蓨
19,15188,CN6205,陇西成纪(今甘肃秦安西北)
20,18616,CN140727,太原祁县
21,18616,CN140881,河东
22,17270,CN410181,河南巩县(今河南巩义)
23,14895,CN410204,汴州(今河南开封)
24,18821,CN620821,安定
25,14000,CN421,荆州江陵(今湖北荆州)
26,20818,CN3305,吴兴(今浙江湖州)
27,12931,CN410423,鲁山（今属河南）
28,18851,CN330522,湖州长城(今浙江长兴)
29,13632,CN130429,广平(今河北鸡泽东南)
30,21491,CN4113,南阳(今属河南)
31,21659,CN330424,苏州海盐(今浙江海盐)
32,15243,CN320413,润州金坛（今江苏金坛）
33,16967,CN130133,赵州(今河北赵县)
34,17561,CN140881,河东(今山西永济西)
35,21277,CN6101,京兆万年(今陕西西安)
36,15634,CN420602,襄阳（今湖北襄樊）
37,13496,CN140881,河中蒲（今山西永济）
38,15274,CN6206,凉州姑臧(今甘肃武威)
39,13340,CN130984,河间(今属河北)
40,14010,CN330521,湖州武康(今浙江德清)
41,15294,CN420684,天水略阳
42,15063,CN3417,池州（今安徽贵池）
43,17276,CN3201,金陵
44,18626,CN1401,并州晋阳(今山西太原)
45,15628,CN3205,吴郡(今江苏苏州)
46,51027,KP,朝鲜
47,21679,CN410883,河南河阳
48,21679,CN4113,邓州南阳
49,21679,CN130322,昌黎
50,14603,CN4103,洛阳（今河南洛阳）
51,18804,CN610502,下邽(今陕西渭南)
52,17578,CN140881,河东(今山西永济西)
53,14615,CN4103,河南（今河南洛阳）
54,20204,CN130681,范阳（今河北涿州市）
55,15618,CN130534,清河（今属河北）
56,19980,CN321181,润州丹阳（今江苏丹阳）
57,18032,CN140727,太原祁(今山西祁县)
58,17274,CN6101,京兆万年(今陕西西安)
59,21163,CN3507,剑浦(今福建南平)
60,19718,CN140881,蒲州河东(今山西永济西)
61,16489,CN410882,怀州河内（今河南焦作沁阳）
62,21596,CN130634,曲阳
63,20615,CN410182,荥阳(今属河南)
64,17168,CN330182,睦州寿昌(今浙江建德西南)
65,21282,CN610113,京兆杜陵(今陕西长安县东北)
66,21436,CN6101,京兆万年(今陕西西安)
67,17287,CN341722,池州石埭(今安徽石台)
68,18969,CN6101,京兆(今陕西西安)
69,13206,CN4103,河南(今河南洛阳)
70,19902,CN61,关中（今陕西）
71,20775,CN3301,馀杭（今浙江杭州）
