id,name,path,aliases,name_comment,writing_count
1,喜迁莺,北曲/黃鍾宮,,,12
2,出队子,北曲/黃鍾宮,,,15
3,刮地风,北曲/黃鍾宮,,,16
4,四门子,北曲/黃鍾宮,,,18
5,古水仙子,北曲/黃鍾宮,,或无「古」字。,9
6,古寨儿令,北曲/黃鍾宮,,「寨」一作「赛」。或无「古」字。,3
7,古神仗儿,北曲/黃鍾宮,,亦作「煞」。或无「古」字。,3
8,节节高,北曲/黃鍾宮,,「节」一作「接」。,3
9,者剌古,北曲/黃鍾宮,,,2
10,愿成双,北曲/黃鍾宮,,,1
11,贺圣朝,北曲/黃鍾宮,,与中吕、商调出入。,1
12,红锦袍,北曲/黃鍾宮,紅衲襖,即〔红衲袄〕。,6
13,昼夜乐,北曲/黃鍾宮,,,2
14,人月圆,北曲/黃鍾宮,,,2
15,䌽楼春,北曲/黃鍾宮,拋球樂,即〔抛球乐〕。,1
16,侍香金童,北曲/黃鍾宮,,与商调出入。,1
17,降黄龙衮,北曲/黃鍾宮,,,1
18,双凤翘,北曲/黃鍾宮,女冠子,即〔女冠子〕，与大石调出入。,1
19,倾杯序,北曲/黃鍾宮,,,1
20,文如锦,北曲/黃鍾宮,,,1
21,九条龙,北曲/黃鍾宮,,,1
22,兴隆引,北曲/黃鍾宮,,「隆」一作「龙」,1
23,尾声,北曲/黃鍾宮,,,1
24,端正好,北曲/正宮,,与仙吕不同。,78
25,滚绣球,北曲/正宮,,亦作子母调,75
26,倘秀才,北曲/正宮,,亦作子母调。,159
27,灵寿杖,北曲/正宮,呆骨朵,即〔呆骨朵〕。,23
28,叨叨令,北曲/正宮,,,53
29,塞鸿秋,北曲/正宮,,与仙吕、中吕出入。,12
30,脱布衫,北曲/正宮,,与中吕出入。,34
31,小梁州,北曲/正宮,,与中吕出入。,32
32,醉太平,北曲/正宮,,与仙吕、中吕出入。,18
33,伴读书,北曲/正宮,村裡秀才,即〔村里秀才〕。与中吕出入。,19
34,笑和尚,北曲/正宮,笑歌賞,即〔笑歌赏〕。,27
35,白鹤子,北曲/正宮,,与中吕出入。,21
36,双鸳鸯,北曲/正宮,,与中吕出入。,4
37,货郎儿,北曲/正宮,,有九转，借用南吕宫。又与仙吕出入。,2
38,蛮姑儿,北曲/正宮,,与中吕出入。,3
39,穷河西,北曲/正宮,,与中吕出入。,5
40,芙蓉花,北曲/正宮,,,2
41,菩萨蛮,北曲/正宮,,与中吕出入。,1
42,黑漆弩,北曲/正宮,學士吟|鸚鵡曲,即〔学士吟〕。亦名〔鹦鹉曲〕。,4
43,月照庭,北曲/正宮,,,1
44,六么遍,北曲/正宮,梅梢月,即〔梅梢月〕。与仙吕出入。,2
45,甘草子,北曲/正宮,,,1
46,煞,北曲/正宮,,,1
47,啄木儿煞,北曲/正宮,,亦入中吕。,1
48,煞尾,北曲/正宮,,,1
49,六国朝,北曲/大石調,,,9
50,归塞北,北曲/大石調,望江南,即〔望江南〕。与仙吕出入。,23
51,卜金钱,北曲/大石調,初開口,即〔初开口〕。,1
52,怨别离,北曲/大石調,,,2
53,雁过南楼,北曲/大石調,,,3
54,催花乐,北曲/大石調,擂鼓體,即〔擂鼓体〕。,2
55,净瓶儿,北曲/大石調,,,3
56,念奴娇,北曲/大石調,,,1
57,喜秋风,北曲/大石調,,,5
58,好观音,北曲/大石調,煞,亦作〔煞〕。,4
59,青杏子,北曲/大石調,,「子」亦作「儿」。本小石调，与仙吕出入。,2
60,蒙童儿,北曲/大石調,憨郭郎,即〔憨郭郎〕。,5
61,还京乐,北曲/大石調,,,1
62,荼縻香,北曲/大石調,,,1
63,催拍子,北曲/大石調,,,1
64,阳关三叠,北曲/大石調,,,0
65,蓦山溪,北曲/大石調,,,1
66,初生月儿,北曲/大石調,,,1
67,百字令,北曲/大石調,念奴嬌,考调即〔念奴娇〕也。,1
68,玉蝉翼煞,北曲/大石調,,,1
69,随煞,北曲/大石調,,黄钟、仙吕、双调、越调通用。,5
70,青杏儿,北曲/小石調,青杏子,即大石调〔青杏子〕，并载么篇耳。,0
71,天上谣,北曲/小石調,,与大石调出入。,1
72,恼杀人,北曲/小石調,,与大石调出入。,1
73,伊州遍,北曲/小石調,,与大石调出入。,2
74,尾声,北曲/小石調,,,1
75,端正好,北曲/仙呂宮,,楔子多用之，与正宫不同。,22
76,赏花时,北曲/仙呂宮,,楔子有么，与商调出入。,81
77,八声甘州,北曲/仙呂宮,,,2
78,点绛唇,北曲/仙呂宮,,,168
79,混江龙,北曲/仙呂宮,,,155
80,油葫芦,北曲/仙呂宮,,,75
81,天下乐,北曲/仙呂宮,,,73
82,那吒令,北曲/仙呂宮,哪吒令,,80
83,鹊踏枝,北曲/仙呂宮,,,46
84,寄生草,北曲/仙呂宮,,与双调出入。,136
85,六么序,北曲/仙呂宮,,与中吕出入。,18
86,醉中天,北曲/仙呂宮,,与双调出入。,56
87,金盏儿,北曲/仙呂宮,醉金琖,即〔醉金盏〕。,106
88,醉扶归,北曲/仙呂宮,,,19
89,忆王孙,北曲/仙呂宮,,,5
90,一半儿,北曲/仙呂宮,,,62
91,瑞鹤仙,北曲/仙呂宮,,,1
92,忆帝京,北曲/仙呂宮,,,1
93,村里迓鼓,北曲/仙呂宮,,「鼓」或作「古」。与商调出入。,14
94,元和令,北曲/仙呂宮,,与商调出入。,34
95,游四门,北曲/仙呂宮,,与商调出入。,13
96,胜葫芦,北曲/仙呂宮,,与商调出入。,16
97,后庭花,北曲/仙呂宮,,亦作「煞」。与商调出入。,122
98,柳叶儿,北曲/仙呂宮,,与黄钟商调出入。,36
99,青哥儿,北曲/仙呂宮,,与商调出入。,42
100,翠裙腰,北曲/仙呂宮,,,1
101,六么令,北曲/仙呂宮,,,3
102,上京马,北曲/仙呂宮,,「上」一作「尚」。与商调不同。,1
103,祆神急,北曲/仙呂宮,祅神急,与双调不同。,1
104,大安乐,北曲/仙呂宮,,,1
105,绿窗怨,北曲/仙呂宮,,,1
106,穿窗月,北曲/仙呂宮,,,2
107,四季花,北曲/仙呂宮,,与商调出入。,1
108,雁儿落,北曲/仙呂宮,,与双调不同。,1
109,玉花秋,北曲/仙呂宮,,,2
110,三番玉楼人,北曲/仙呂宮,,亦入越调。,1
111,锦橙梅,北曲/仙呂宮,,,2
112,双雁子,北曲/仙呂宮,,「子」或作「儿」。,1
113,太常引,北曲/仙呂宮,,,4
114,柳外楼,北曲/仙呂宮,,,1
115,赚煞尾,北曲/仙呂宮,,,41
116,粉蝶儿,北曲/中呂宮,,,43
117,叫声,北曲/中呂宮,,,11
118,醉春风,北曲/中呂宮,,与双调不同。,1
119,迎仙客,北曲/中呂宮,,,32
120,红绣鞋,北曲/中呂宮,朱履曲,即〔朱履曲〕，与正宫出入。,40
121,普天乐,北曲/中呂宮,黃梅雨,即〔黄梅雨〕。,41
122,醉高歌,北曲/中呂宮,,,16
123,喜春来,北曲/中呂宮,陽春曲,即〔阳春曲〕，与正宫出入。,16
124,石榴花,北曲/中呂宮,,,27
125,斗鹌鹑,北曲/中呂宮,,与越调不同。,1
126,上小楼,北曲/中呂宮,,与正宫出入。,47
127,满庭芳,北曲/中呂宮,,与正宫、仙吕出入。,34
128,十二月,北曲/中呂宮,,与正宫出入。,45
129,尧民歌,北曲/中呂宮,,与正宫出入。,45
130,快活三,北曲/中呂宮,,与正宫出入。,49
131,鲍老儿,北曲/中呂宮,,与正宫出入。,14
132,古鲍老,北曲/中呂宮,,,2
133,红芍药,北曲/中呂宮,,与中吕不同。,1
134,剔银镫,北曲/中呂宮,,与正宫出入。,5
135,蔓菁菜,北曲/中呂宮,,与正宫出入。,5
136,柳青娘,北曲/中呂宮,,与正宫出入。,5
137,道和,北曲/中呂宮,,「和」一作「合」，与正宫出入。,2
138,朝天子,北曲/中呂宮,謁金門,即〔谒金门〕。与正宫出入。,83
139,四边静,北曲/中呂宮,,与正宫出入。,7
140,齐天乐,北曲/中呂宮,,,2
141,红衫儿,北曲/中呂宮,,,3
142,苏武持节,北曲/中呂宮,山坡羊,即〔山坡羊〕。与黄钟宫出入。,13
143,卖花声,北曲/中呂宮,昇平樂,即〔升平乐〕。亦作煞。,13
144,四换头,北曲/中呂宮,,与正宫出入,1
145,摊破喜春来,北曲/中呂宮,,,1
146,乔捉蛇,北曲/中呂宮,,,2
147,煞尾,北曲/中呂宮,,般涉调同。,1
148,一枝花,北曲/南呂宮,占春魁,即〔占春魁〕。,38
149,梁州第七,北曲/南呂宮,,,25
150,隔尾,北曲/南呂宮,,与中吕出入。,62
151,牧羊关,北曲/南呂宮,,,81
152,菩萨梁州,北曲/南呂宮,,,15
153,元鹤鸣,北曲/南呂宮,哭皇天,即〔哭皇天〕。,29
154,乌夜啼,北曲/南呂宮,,,16
155,骂玉郎,北曲/南呂宮,瑤華令,即〔瑶华令〕。,39
156,感皇恩,北曲/南呂宮,,,33
157,采茶歌,北曲/南呂宮,楚江秋,即〔楚江秋〕。,36
158,贺新郎,北曲/南呂宮,,,18
159,梧桐树,北曲/南呂宮,,与双调出入。,1
160,红芍药,北曲/南呂宮,,与中吕不同。,1
161,四块玉,北曲/南呂宮,,,33
162,草池春,北曲/南呂宮,鬭黑蟆|絮蝦蟆,即〔斗黑蟆〕，亦名〔絮虾蟆〕。,9
163,鹌鹑儿,北曲/南呂宮,,,1
164,阅金经,北曲/南呂宮,金字經,即〔金字经〕。与双调出入。,20
165,翠盘秋,北曲/南呂宮,乾荷葉,即〔乾荷叶〕。亦入中吕。,4
166,玉交枝,北曲/南呂宮,,「交」一作「娇」。与双调出入。,3
167,煞,北曲/南呂宮,,,1
168,黄钟尾,北曲/南呂宮,隨尾,即〔随尾〕。黄钟宫通用。,39
169,驻马听,北曲/雙調,,,38
170,新水令,北曲/雙調,,,80
171,乔牌儿,北曲/雙調,,,47
172,沉醉东风,北曲/雙調,,,18
173,步步娇,北曲/雙調,潘妃曲,即〔潘妃曲〕。,14
174,夜行船,北曲/雙調,,,5
175,银汉浮槎,北曲/雙調,喬木查,即〔乔木查〕。,6
176,庆宣和,北曲/雙調,,,10
177,五供养,北曲/雙調,,,2
178,月上海棠,北曲/雙調,,,2
