id,name,latitude,longitude,parent_id,people_count,has_child
CN11,北京市,39.911015,116.41355,CN,506,true
CN110114,昌平区,40.226486,116.2379,CN1101,58,true
CN110115,大兴区,39.732494,116.34821,CN1101,5,true
CN120225,蓟县,40.051476,117.41487,CN1202,57,true
CN130121,井陉县,38.03833,114.15179,CN1301,12,true
CN130123,正定县,38.15219,114.57744,CN1301,103,true
CN130133,赵县,37.761967,114.78276,CN1301,156,true
CN130322,昌黎县,39.719193,119.16926,CN1303,63,true
CN130324,卢龙县,39.897858,118.89943,CN1303,58,true
CN1304,邯郸市,36.63122,114.54581,CN13,34,true
CN130423,临漳县,36.340813,114.62598,CN1304,48,true
CN130425,大名县,36.291267,115.154495,CN1304,202,true
CN130426,涉县,36.591133,113.697235,CN1304,7,true
CN130429,永年县,36.784,114.49736,CN1304,150,true
CN130432,广平县,36.489735,114.95491,CN1304,4,true
CN130434,魏县,36.366062,114.945274,CN1304,5,true
CN1305,邢台市,37.076645,114.51089,CN13,37,true
CN130534,清河县,37.046196,115.67358,CN1305,101,true
CN130607,满城区,38.95526,115.328545,CN1306,0,true
CN130633,易县,39.35491,115.505066,CN1306,38,true
CN130634,曲阳县,38.628395,114.751465,CN1306,17,true
CN130681,涿州市,39.49096,115.98101,CN1306,260,true
CN130928,吴桥县,37.634014,116.397934,CN1309,12,true
CN130984,河间市,38.451138,116.10563,CN1309,110,true
CN1311,衡水市,37.745167,115.67694,CN13,12,true
CN131127,景县,37.69865,116.277016,CN1311,117,true
CN131181,冀州区,37.555588,115.59813,CN1311,121,true
CN131182,深州市,38.00656,115.566376,CN1311,31,true
CN139001,定州市,38.46584,115.0574,CN139,166,true
CN14,山西省,37.87976,112.56909,CN,39,true
CN1401,太原市,37.876884,112.55706,CN14,352,true
CN140110,晋源区,37.721123,112.48426,CN1401,56,true
CN1404,长治市,36.201584,113.12305,CN14,107,true
CN1405,晋城市,35.496082,112.857704,CN14,66,true
CN140602,朔城区,39.32549,112.439514,CN1406,39,true
CN140725,寿阳县,37.90119,113.18307,CN1407,9,true
CN140727,祁县,37.363995,112.34151,CN1407,81,true
CN140825,新绛县,35.622444,111.23111,CN1408,53,true
CN140830,芮城县,34.699337,110.701035,CN1408,23,true
CN140881,永济市,34.87289,110.45431,CN1408,211,true
CN140882,河津市,35.602154,110.71843,CN1408,36,true
CN140923,代县,39.07272,112.966515,CN1409,78,true
CN141,临汾市,36.09405,111.52615,CN14,137,true
CN141182,汾阳市,37.27111,111.794365,CN1411,68,true
CN141182200,西河乡,37.277447,111.782265,CN141182,9,false
CN1501,呼和浩特市,40.84746,111.758514,CN15,0,true
CN150622,准格尔旗,39.8706,111.24627,CN1506,3,true
CN152923,额济纳旗,41.960693,101.06192,CN1529,0,true
CN2113,朝阳市,41.579487,120.4573,CN21,7,true
CN3201,南京市,32.064735,118.802895,CN32,647,true
CN320115,江宁区,31.958487,118.84659,CN3201,51,true
CN3202,无锡市,31.496704,120.318954,CN32,1323,true
CN320282,宜兴市,31.346071,119.83007,CN3202,529,true
CN3203,徐州市,34.210144,117.29235,CN32,73,true
CN320321,丰县,34.699722,116.601906,CN3203,26,true
CN320322,沛县,34.727318,116.94412,CN3203,21,true
CN320382,邳州市,34.340878,118.019066,CN3203,25,true
CN3204,常州市,31.816792,119.98014,CN32,989,true
CN320413,金坛区,31.740503,119.58468,CN3204,174,true
CN320481,溧阳市,31.421755,119.49111,CN3204,123,true
CN3205,苏州市,31.304565,120.589615,CN32,2167,true
CN3208,淮安市,33.616272,119.02243,CN32,118,true
CN320804,淮阴区,33.6381,119.04132,CN3208,23,true
CN320826,涟水县,33.787174,119.267334,CN3208,18,true
CN320830,盱眙县,33.017143,118.55143,CN3208,38,true
CN321,扬州市,32.39986,119.419106,CN32,330,true
CN321023,宝应县,33.247215,119.36497,CN321,94,true
CN321084,高邮市,32.786777,119.4622,CN321,115,true
CN3211,镇江市,32.195686,119.431496,CN32,284,true
CN321181,丹阳市,32.01539,119.613434,CN3211,233,true
CN321183,句容市,31.951147,119.17507,CN3211,92,true
CN3301,杭州市,30.28006,120.16169,CN33,1838,true
CN330109,萧山区,30.19144,120.27104,CN3301,146,true
CN330111,富阳区,30.001095,119.846695,CN3301,108,true
CN330122,桐庐县,29.798851,119.6981,CN3301,84,true
CN330182,建德市,29.481104,119.287605,CN3301,90,true
CN330182109,寿昌镇,29.36476,119.2288,CN330182,0,false
CN3302,宁波市,29.880177,121.55669,CN33,158,true
CN3303,温州市,28.001095,120.70587,CN33,468,true
CN330382,乐清市,28.119019,120.98987,CN3303,4,true
CN330424,海盐县,30.5318,120.95223,CN3304,352,true
CN3305,湖州市,30.899015,120.09457,CN33,720,true
CN330521,德清县,30.548828,119.984,CN3305,252,true
CN330522,长兴县,31.032625,119.9166,CN3305,147,true
CN3306,绍兴市,30.036518,120.58667,CN33,959,true
CN330681,诸暨市,29.719992,120.24272,CN3306,151,true
CN330683,嵊州市,29.594696,120.82814,CN3306,128,true
CN3307,金华市,29.084455,119.65403,CN33,157,true
CN330782,义乌市,29.311325,120.08126,CN3307,126,true
CN3308,衢州市,28.941662,118.88077,CN33,136,true
CN331082,临海市,28.86405,121.151535,CN331,261,true
CN340124,庐江县,31.273693,117.33217,CN3401,95,true
CN340221,芜湖县,31.141039,118.58173,CN3402,5,true
CN340223,南陵县,30.92091,118.34047,CN3402,45,true
CN340321,怀远县,32.976006,117.21165,CN3403,30,true
CN340521,当涂县,31.575548,118.5044,CN3405,122,true
CN340523,和县,31.716473,118.293884,CN3405,82,true
CN340826,宿松县,30.15962,116.13572,CN3408,33,true
CN341,黄山市,29.721365,118.34509,CN34,46,true
CN3411,滁州市,32.308167,118.32325,CN34,38,true
CN3412,阜阳市,32.895878,115.82139,CN34,66,true
CN3413,宿州市,33.652035,116.97045,CN34,5,true
CN341302,埇桥区,33.646175,116.98376,CN3413,22,true
CN341321,砀山县,34.4469,116.37258,CN3413,14,true
CN3416,亳州市,33.850773,115.78577,CN34,116,true
CN3417,池州市,30.67098,117.49784,CN34,109,true
CN341702,贵池区,30.692677,117.57382,CN3417,5,true
CN341722,石台县,30.216589,117.492584,CN3417,21,true
CN341723,青阳县,30.645681,117.85392,CN3417,71,true
CN3418,宣城市,30.946575,118.7652,CN34,27,true
CN341802,宣州区,30.951982,118.762886,CN3418,290,true
CN341823,泾县,30.694698,118.42613,CN3418,153,true
CN3501,福州市,26.080446,119.30294,CN35,1304,true
CN350426,尤溪县,26.176353,118.19693,CN3504,16,true
CN350427,沙县,26.401892,117.79924,CN3504,42,true
CN350583,南安市,24.966064,118.39284,CN3505,97,true
CN3507,南平市,26.647661,118.1843,CN35,71,true
CN350781,邵武市,27.346636,117.49895,CN3507,162,true
CN350783,建瓯市,27.028915,118.31144,CN3507,327,true
CN3601,南昌市,28.687675,115.864525,CN36,317,true
CN360222,浮梁县,29.357681,117.221695,CN3602,84,true
CN3604,九江市,29.711329,116.007996,CN36,89,true
CN360430,彭泽县,29.90215,116.55562,CN3604,34,true
CN3607,赣州市,25.83718,114.94126,CN36,58,true
