id,book,name,chars
1,平水韵,一东,
2,平水韵,二冬,
3,平水韵,三江,
4,平水韵,四支,
5,平水韵,五微,
6,平水韵,六鱼,
7,平水韵,七虞,
8,平水韵,八齐,
9,平水韵,九佳,
10,平水韵,十灰,
11,平水韵,十一真,
12,平水韵,十二文,
13,平水韵,十三元,
14,平水韵,十四寒,
15,平水韵,十五删,
16,平水韵,一先,
17,平水韵,二萧,
18,平水韵,三肴,
19,平水韵,四豪,
20,平水韵,五歌,
21,平水韵,六麻,
22,平水韵,七阳,
23,平水韵,八庚,
24,平水韵,九青,
25,平水韵,十蒸,
26,平水韵,十一尤,
27,平水韵,十二侵,
28,平水韵,十三覃,
29,平水韵,十四盐,
30,平水韵,十五咸,
31,平水韵,一董,
32,平水韵,二肿,
33,平水韵,三讲,
34,平水韵,四纸,
35,平水韵,五尾,
36,平水韵,六语,
37,平水韵,七麌,
38,平水韵,八荠,
39,平水韵,九蟹,
40,平水韵,十贿,
41,平水韵,十一轸,
42,平水韵,十二吻,
43,平水韵,十三阮,
44,平水韵,十四旱,
45,平水韵,十五潸,
46,平水韵,十六铣,
47,平水韵,十七筱,
48,平水韵,十八巧,
49,平水韵,十九皓,
50,平水韵,二十哿,
51,平水韵,二十一马,
52,平水韵,二十二养,
53,平水韵,二十三梗,
54,平水韵,二十四迥,
55,平水韵,二十五有,
56,平水韵,二十六寝,
57,平水韵,二十七感,
58,平水韵,二十八俭,
59,平水韵,二十九豏,
60,平水韵,一送,
61,平水韵,二宋,
62,平水韵,三绛,
63,平水韵,四寘,
64,平水韵,五未,
65,平水韵,六御,
66,平水韵,七遇,
67,平水韵,八霁,
68,平水韵,九泰,
69,平水韵,十卦,
70,平水韵,十一队,
71,平水韵,十二震,
72,平水韵,十三问,
73,平水韵,十四愿,
74,平水韵,十五翰,
75,平水韵,十六谏,
76,平水韵,十七霰,
77,平水韵,十八啸,
78,平水韵,十九效,
79,平水韵,二十号,
80,平水韵,二十一个,
81,平水韵,二十二祃,
82,平水韵,二十三漾,
83,平水韵,二十四敬,
84,平水韵,二十五径,
85,平水韵,二十六宥,
86,平水韵,二十七沁,
87,平水韵,二十八勘,
88,平水韵,二十九艳,
89,平水韵,三十陷,
90,平水韵,一屋,
91,平水韵,二沃,
92,平水韵,三觉,
93,平水韵,四质,
94,平水韵,五物,
95,平水韵,六月,
96,平水韵,七曷,
97,平水韵,八黠,
98,平水韵,九屑,
99,平水韵,十药,
100,平水韵,十一陌,
101,平水韵,十二锡,
102,平水韵,十三职,
103,平水韵,十四缉,
104,平水韵,十五合,
105,平水韵,十六叶,
106,平水韵,十七洽,
