"id","author_id","author_name","title","dynasty","author_date_raw","author_place_raw","writing_type","type_detail","rhyme","first_clause_rhyme","rank","preface","note"
"42083","21620","骆宾王","至分陕","初唐","","","律诗","WuLv","尤","","0","",""
"42072","21620","骆宾王","北眺舂陵","初唐","655年","CN420683","律诗","WuLv","蒸","","0","",""
"42114","21620","骆宾王","夏日游目聊作","初唐","","","律诗","WuLv","庚","","0","",""
"42078","21620","骆宾王","同崔驸马晓初登楼思京","初唐","","","律诗","WuLv","寒","","0","",""
"42063","21620","骆宾王","月夜有怀简诸同病","初唐","","","律诗","WuLv","东","","0","",""
"42093","21620","骆宾王","春夜韦明府宅宴得春字","初唐","","","律诗","WuLv","真","","0","",""
"42168","21620","骆宾王","从军行","初唐","670年7月","CN632521","律诗","WuLv","10","","0","",""
"42064","21620","骆宾王","王昭君","初唐","","","律诗","WuLv","真","","0","",""
"42059","21620","骆宾王","于紫云观赠道士","初唐","","","律诗","WuLv","删","","0","余乡国一辞，江山万里。昔年离别，还同塞北之凫；今日归来，即似辽东之鹤。先生情均得兔，忘筌之契已深。路是亡羊，分岐之恨逾切。不题短什，何汰衷襟。",""
"42119","21620","骆宾王","渡瓜步江","初唐","676年6;7月","CN3211","律诗","WuLv","尤","","0","",""
"42116","21620","骆宾王","途中有怀","初唐","655年","CN420704","律诗","WuLv","删","","0","",""
"42082","21620","骆宾王","至分水戍","初唐","655年","CN411321,鲁阳关","律诗","WuLv","尤","尤","0","",""
"42118","21620","骆宾王","望乡夕泛","初唐","655年","CN330782","律诗","WuLv","寒","寒","0","",""
"42058","21620","骆宾王","久客临海有怀","初唐","682年","CN331082","律诗","WuLv","尤","","0","",""
"42121","21620","骆宾王","游兖部逢孔君自卫来欣然相遇若旧","初唐","","","律诗","WuLv","灰","","0","",""
"42084","21620","骆宾王","西京守岁","初唐","","","律诗","WuLv","真","","0","",""
"42074","21620","骆宾王","同辛簿简仰酬思玄上人林泉四首","初唐","","","律诗","WuLv","真","","0","",""
"42075","21620","骆宾王","同辛簿简仰酬思玄上人林泉四首","初唐","","","律诗","WuLv","元","","0","",""
"42076","21620","骆宾王","同辛簿简仰酬思玄上人林泉四首","初唐","","","律诗","WuLv","灰","","0","",""
"42077","21620","骆宾王","同辛簿简仰酬思玄上人林泉四首","初唐","","","律诗","WuLv","支","","0","",""
"42094","21620","骆宾王","秋日饯陆道士陈文林","初唐","659年","CN410526","律诗","WuLv","东","","0","陆道士将游西辅，通庄指浮气之关；陈文林言返东吴，修途走落星之浦。于是维舟锦水，藉兰若以开筵；绁骑金堤，泛榴花于祖道。于时赤烟沈节，青女司晨，霜雁衔芦，举宾行而候气，寒蝉噪柳，带凉序以含情。加以山接太行，耸羊肠而飞盖；河通少海，疏马颊以开澜，登高切送归之情，临水感逝川之叹，既而嗟别路之难驻。惜离尊之易倾，虽漆园筌蹄，已忘然于道术（已忘言于道术）。而陟阳风雨，尚抒情于咏歌，各赋一言，同为四韵，庶几别后，有畅离忧云尔。",""
"42110","21620","骆宾王","送郑少府入辽共赋侠客远从戎","初唐","","","律诗","WuLv","寒","","0","",""
