id,writing_id,book,section,content,full_path
1,3423,《唐诗观澜集》,"",已开律径（“绮殿”二句下）。,《唐诗观澜集》
2,3424,《网师园唐诗笺》,"",典丽（“玉匣”句下）。,《网师园唐诗笺》
3,3425,《网师园唐诗笺》,"",摹写尽情，炼词工雅（“雕弓”二句下）。,《网师园唐诗笺》
4,3428,《网师园唐诗笺》,"","亦娇亦韵（""萍间”二句下）。",《网师园唐诗笺》
5,3429,《唐诗镜》,"",太宗丽色来自齐梁，苍骨本之隋氏。“长烟散初碧，皎月澄轻素”语藻而洁。,《唐诗镜》
6,3429,《唐诗观澜集》,"",“长烟散初碧，皎月澄轻素”秀丽近小谢。化陈隋之绮靡，开初盛之浑穆，须看其起结脱换，有旋乾转坤之力。,《唐诗观澜集》
7,3432,《唐诗归》,"",钟云：好起手（首二句下）。谭云：衮龙气（“奉天”二句下）。钟云：末语有侈心矣。始戒终溢，雄主故态也。,《唐诗归》
8,3432,《唐诗观澜集》,"",曲终奏雅。,《唐诗观澜集》
9,3432,唐诗汇评,总评,"",唐诗汇评·总评
10,3432,《唐诗分类绳尺》,"",六朝气习，欲脱未脱。,《唐诗分类绳尺》
11,3432,《汇编唐诗十集》,"",唐曰：题曰《帝京》，而通篇说君道，所谓在德不在险。,《汇编唐诗十集》
12,3432,《唐诗选脉会通评林》,"",周珽曰：《帝京》篇什不失雅道。若比诸得天下于马上之汉高，《大风》之语，气概要胜此多多许矣。,《唐诗选脉会通评林》
13,3432,《诗薮》,"",唐初惟文皇《帝京篇》，藻瞻精华，最为杰作，视梁、陈神韵少减，而富丽过之。无论大略，即雄才自当驱走一世。,《诗薮》
14,3432,《王闿运手批唐诗选》,"",长篇分为十首，即各自为咏，非古昔数篇相连只咏一事之体也。此体少有作者，亦取巧之法。,《王闿运手批唐诗选》
15,3432,《诗学渊源》,"",（太宗）诗袭陈隋之馀，下渐唐律。凡其所作，足为师象。穷源竟委，唯此为宜。《帝京》十篇，规法陈隋，而精细尤甚，欲知齐梁陈隋之法，非读此不可。,《诗学渊源》
16,3478,《历代诗法》,"",英毅之气，勃勃行楮间。钟伯敬谓太宗诗终带陈隋滞响，读之不能畅人，似非通论也。,《历代诗法》
17,3478,《唐诗观澜集》,"",“营碎落星沉，阵卷横云裂”十字足抵范蔚宗叙昆明。“于兹俯旧原，属目驻华轩。沉沙无故迹，减灶有残痕”，沉郁顿挫，与汉高过沛歌风同一气象。,《唐诗观澜集》
18,3409,《庚溪诗话》,"",唐文皇既以武功平隋乱，又以文德致太平，于篇咏尤其所好。如曰：“昔乘匹马去，今驱万乘来。”辞气壮伟，固人所脍炙。又尝观其《过旧宅》诗曰：“新丰停翠辇，谯邑驻鸣笳”、“一朝辞此去，四海遂成家。”盖其诗语与功烈真相副也。,《庚溪诗话》
19,42168,《唐诗分类绳尺》,"",此篇同语不卜杨炯，而意气胜之。,《唐诗分类绳尺》
20,42077,《批点唐音》,"",缓语多情。,《批点唐音》
21,42077,《唐诗选脉会通评林》,"",一腔忠愤，深心终在言外也。“春草”亦本楚词语，“寄相思”三字情远味永。周珽曰：不袭烟火，风韵自足。,《唐诗选脉会通评林》
22,42110,《唐诗镜》,"",三四语色明媚，却与五陵裘马相宜。上句更自入手轻快。,《唐诗镜》
23,42080,《唐诗选脉会通评林》,"",周珽曰：前半的足在兖州饯别题面。五、六即别时之景。收以别后不胜怀念之情。,《唐诗选脉会通评林》
24,42092,《唐诗镜》,"",淡淡语，含情无限，结语悲甚。,《唐诗镜》
25,42079,《唐诗镜》,"",大家语，大略意象深而物态浅。,《唐诗镜》
26,42079,《唐诗归》,"",钟云：“信高洁”三字森挺，不肯自下。,《唐诗归》
27,42079,《全唐风雅》,"",黄云：咏蝉诗描写最工，词甚雅正。,《全唐风雅》
28,42079,《唐诗选脉会通评林》,"",周珽曰：次句映带“在狱”。三、四流水对，清利。五、六寓所思，深婉。尾“表”字应上“侵”字，“心”字应“思”字，有情。咏物诗，此与《秋雁》篇可称绝唱。,《唐诗选脉会通评林》
29,42079,《唐律消夏录》,"",五、六有多少进退维谷之意，不独说蝉、所以结句便可直说。,《唐律消夏录》
30,42079,《唐诗矩》,"",尾联总冒格。序已将蝉赋尽，诗只带写己意，与诸咏物诗体格不同。语兼比兴（“露重”句下）。,《唐诗矩》
31,42079,《闻鹤轩初盛唐近体读本》,"",陈德公先生曰：三四现成恰好，转觉增凄。第二“客思侵”三字凑韵，信阳多犯此流弊，评：“客思侵”同似凑弱，但以对起，犹可掩拙，若复散行，更成率易，此又不可不知。李白山曰：结承五六缴足，更为醒快。,《闻鹤轩初盛唐近体读本》
32,42079,《唐宋诗举要》,"",以蝉自喻，语意沉至。,《唐宋诗举要》
33,42104,《唐诗选脉会通评林》,"",此篇亦托雁以肖况也。次联去、归、冷、寒，三联凌、逗、易、难，意味深在言表。末联“顾影”应“联翩”句，“刷羽”应“遥曳”句，不无呼号同类、揽辔澄清之想。徐用吾曰：富丽超祓。周珽曰：三、四典切，若有神助。五、六与《咏蝉》诗语意相类。,《唐诗选脉会通评林》
34,42104,《网师园唐诗笺》,"",清稳（“阵去”二句下）。,《网师园唐诗笺》
35,42052,《增订评注唐诗正声》,"",唐云：绝无中流击楫意。,《增订评注唐诗正声》
36,42052,《而庵说唐诗》,"",有讽敬业意。,《而庵说唐诗》
37,42052,《唐诗笺注》,"",只着“歌舞”句，而在军中之苦，俱从反面托出矣。五字何等气魄！,《唐诗笺注》
38,42050,《唐诗正声》,"",吴逸一曰：只就地摹写，不添一意，而气概横绝。,《唐诗正声》
39,42050,《唐诗直解》,"",似无味，然未尝不佳。,《唐诗直解》
40,42050,《诗辩坻》,"",临海《易水送别》，借轲、丹事，用一“别”字映出题面，馀作凭吊，而神理已足。二十字中游刃如此，何等高笔！,《诗辩坻》
41,42050,《增订唐诗摘钞》,"",因临易水而想古人，其水犹寒，侠气凛然。,《增订唐诗摘钞》
42,42050,《而庵说唐诗》,"",何作此变徵声……寓意深远，人卒未知也。,《而庵说唐诗》
43,42050,《网师园唐诗笺》,"",末句黯然。,《网师园唐诗笺》
44,42050,《唐人万首绝句选评》,"",“此地”二字有无限凭吊意，因地生意，并不说到自身，如此已足。,《唐人万首绝句选评》
45,42050,《诗境浅说续编》,"",此诗一气挥洒，怀古苍凉，劲气直达，高格也。,《诗境浅说续编》
